,name,link,subs,request,views,date
34,Ремонт Квартир в СПб,https://www.youtube.com/channel/UCuyv8Ie5hwIuqLnX-6If-LA,33900,дизайнерский ремонт квартир под ключ,247510.0,2018-10-28 00:00:00
35,Vitaly Mikhnevich,https://www.youtube.com/channel/UCrvJ6aJdXI53xN8NG7DyNPw,0,дизайнерский ремонт квартир под ключ,832.0,2015-11-01 00:00:00
36,SR DESIGN STUDIO,https://www.youtube.com/channel/UCk0vP7kCYrkXWA0eHq3o7tA,0,дизайнерский ремонт квартир под ключ,110.0,2019-02-13 00:00:00
37,"Интерьер-дизайн, ремонт под ключ",https://www.youtube.com/channel/UCT03lELMLWe1fIiLbtc2NBQ,0,дизайнерский ремонт квартир под ключ,33011.0,2016-12-20 00:00:00
38,ВАМ РЕМОНТ,https://www.youtube.com/channel/UCQpPzwkFPrC4kVqviPoA8rg,0,дизайнерский ремонт квартир под ключ,101044.0,2017-07-13 00:00:00
39,Андрей Андреев,https://www.youtube.com/channel/UCAFvb4Vtxhf07s3N-uTueeg,0,дизайнерский ремонт квартир под ключ,250.0,2015-11-02 00:00:00
40,"ГК ""Краски"" Дизайн и Ремонт недвижимости!",https://www.youtube.com/channel/UCKld5wnGQKMzaYgL4lfZV7w,0,дизайнерский ремонт квартир под ключ,1663.0,2017-03-13 00:00:00
41,Строительная Компания Золотое Сечение,https://www.youtube.com/channel/UCOTSooLhDFkNtVX3JgpqabQ,0,дизайнерский ремонт квартир под ключ,880.0,2019-04-17 00:00:00
42,Комфорт Юг Строй,https://www.youtube.com/channel/UCSPVWD_DmcwJn7BiWB-mukA,0,дизайнерский ремонт квартир под ключ,3340.0,2020-11-06 00:00:00
43,Андрей Кубасов,https://www.youtube.com/channel/UCNa04C0beAm_mJDjy5YJJVg,51400,дизайнерский ремонт квартир под ключ,1048110.0,2012-08-12 00:00:00
44,oxremont,https://www.youtube.com/channel/UCmxubRCDUTYBv3PhtjCs6Rw,0,дизайнерский ремонт квартир под ключ,469.0,2017-02-09 00:00:00
45,Довольные Метры,https://www.youtube.com/channel/UClA2FzAuCEgo_rqE1w1gUyQ,62200,дизайнерский ремонт квартир под ключ,1116410.0,2016-07-12 00:00:00
46,TopStroy,https://www.youtube.com/channel/UCAWj5ZAHUUQccw1uCgW5isw,0,дизайнерский ремонт квартир под ключ,373.0,2015-12-04 00:00:00
47,Бобур Махмудов,https://www.youtube.com/channel/UCbXiwlRfQvkbF-b16YCVehg,0,дизайнерский ремонт квартир под ключ,20455.0,2017-12-30 00:00:00
48,"Ванная под ключ ,санузлы и спа комнаты",https://www.youtube.com/channel/UCy3iocW-FQAKe2YshQ54puQ,56900,дизайнерский ремонт квартир под ключ,1149856.0,2014-02-16 00:00:00
